custid	Customer_Name	orderid	orderdate	shippeddate	Shipper_Name	freight	Value	Freight_Value
9	Customer RTXGC	10470	2007-03-11 00:00:00	2007-03-14 00:00:00	Shipper ETYNR	64.56	1820.8	0.0354
11	Customer UBHAU	10471	2007-03-11 00:00:00	2007-03-18 00:00:00	Shipper ZHISN	45.59	1328	0.0343
72	Customer AHPOP	10472	2007-03-12 00:00:00	2007-03-19 00:00:00	Shipper GVSUA	4.2	1051.2	0.0039
38	Customer LJUCA	10473	2007-03-13 00:00:00	2007-03-21 00:00:00	Shipper ZHISN	16.37	230.4	0.071
58	Customer AHXHT	10474	2007-03-13 00:00:00	2007-03-21 00:00:00	Shipper ETYNR	83.49	1249.1	0.0668
76	Customer SFOGW	10475	2007-03-14 00:00:00	2007-04-04 00:00:00	Shipper GVSUA	68.52	1770.8	0.0386
35	Customer UMTLM	10476	2007-03-17 00:00:00	2007-03-24 00:00:00	Shipper ZHISN	4.41	182.4	0.0241
60	Customer QZURI	10477	2007-03-17 00:00:00	2007-03-25 00:00:00	Shipper ETYNR	13.02	672	0.0193
84	Customer NRCSK	10478	2007-03-18 00:00:00	2007-03-26 00:00:00	Shipper ZHISN	4.81	496	0.0096
65	Customer NYUHS	10479	2007-03-19 00:00:00	2007-03-21 00:00:00	Shipper ZHISN	708.95	10495.6	0.0675
23	Customer WVFAF	10480	2007-03-20 00:00:00	2007-03-24 00:00:00	Shipper ETYNR	1.35	756	0.0017
67	Customer QVEPD	10481	2007-03-20 00:00:00	2007-03-25 00:00:00	Shipper ETYNR	64.33	1472	0.0437
43	Customer UISOJ	10482	2007-03-21 00:00:00	2007-04-10 00:00:00	Shipper ZHISN	7.48	147	0.0508
89	Customer YBQTI	10483	2007-03-24 00:00:00	2007-04-25 00:00:00	Shipper ETYNR	15.28	704	0.0217
11	Customer UBHAU	10484	2007-03-24 00:00:00	2007-04-01 00:00:00	Shipper ZHISN	6.88	386.2	0.0178
47	Customer PSQUZ	10485	2007-03-25 00:00:00	2007-03-31 00:00:00	Shipper ETYNR	64.45	1760	0.0366
35	Customer UMTLM	10486	2007-03-26 00:00:00	2007-04-02 00:00:00	Shipper ETYNR	30.53	1272	0.024
62	Customer WFIZJ	10487	2007-03-26 00:00:00	2007-03-28 00:00:00	Shipper ETYNR	71.07	925.1	0.0768
25	Customer AZJED	10488	2007-03-27 00:00:00	2007-04-02 00:00:00	Shipper ETYNR	4.93	1560	0.0031
59	Customer LOLJO	10489	2007-03-28 00:00:00	2007-04-09 00:00:00	Shipper ETYNR	5.29	502.2	0.0105
35	Customer UMTLM	10490	2007-03-31 00:00:00	2007-04-03 00:00:00	Shipper ETYNR	210.19	3163.2	0.0664
28	Customer XYUFB	10491	2007-03-31 00:00:00	2007-04-08 00:00:00	Shipper ZHISN	16.96	305.3	0.0555
10	Customer EEALV	10492	2007-04-01 00:00:00	2007-04-11 00:00:00	Shipper GVSUA	62.89	896	0.0701
41	Customer XIIWM	10493	2007-04-02 00:00:00	2007-04-10 00:00:00	Shipper ZHISN	10.64	676	0.0157
15	Customer JUWXK	10494	2007-04-02 00:00:00	2007-04-09 00:00:00	Shipper ETYNR	65.99	912	0.0723
42	Customer IAIJK	10495	2007-04-03 00:00:00	2007-04-11 00:00:00	Shipper ZHISN	4.65	278	0.0167
81	Customer YQQWW	10496	2007-04-04 00:00:00	2007-04-07 00:00:00	Shipper ETYNR	46.77	200	0.2338
44	Customer OXFRU	10497	2007-04-04 00:00:00	2007-04-07 00:00:00	Shipper GVSUA	36.21	1380.6	0.0262
35	Customer UMTLM	10498	2007-04-07 00:00:00	2007-04-11 00:00:00	Shipper ETYNR	29.75	575	0.0517
46	Customer XPNIK	10499	2007-04-08 00:00:00	2007-04-16 00:00:00	Shipper ETYNR	102.02	1412	0.0722
41	Customer XIIWM	10500	2007-04-09 00:00:00	2007-04-17 00:00:00	Shipper GVSUA	42.68	550.8	0.0774
6	Customer XHXJV	10501	2007-04-09 00:00:00	2007-04-16 00:00:00	Shipper ZHISN	8.85	149	0.0593
58	Customer AHXHT	10502	2007-04-10 00:00:00	2007-04-29 00:00:00	Shipper GVSUA	69.32	816.3	0.0849
37	Customer FRXZL	10503	2007-04-11 00:00:00	2007-04-16 00:00:00	Shipper ETYNR	16.74	2048.5	0.0081
89	Customer YBQTI	10504	2007-04-11 00:00:00	2007-04-18 00:00:00	Shipper ZHISN	59.13	1388.5	0.0425
51	Customer PVDZC	10505	2007-04-14 00:00:00	2007-04-21 00:00:00	Shipper ZHISN	7.13	147.9	0.0482
39	Customer GLLAG	10506	2007-04-15 00:00:00	2007-05-02 00:00:00	Shipper ETYNR	21.19	462	0.0458
3	Customer KBUDE	10507	2007-04-15 00:00:00	2007-04-22 00:00:00	Shipper GVSUA	47.45	881.25	0.0538
56	Customer QNIVZ	10508	2007-04-16 00:00:00	2007-05-13 00:00:00	Shipper ETYNR	4.99	240	0.0207
6	Customer XHXJV	10509	2007-04-17 00:00:00	2007-04-29 00:00:00	Shipper GVSUA	0.15	136.8	0.001
71	Customer LCOUJ	10510	2007-04-18 00:00:00	2007-04-28 00:00:00	Shipper ZHISN	367.63	4735.44	0.0776
9	Customer RTXGC	10511	2007-04-18 00:00:00	2007-04-21 00:00:00	Shipper ZHISN	350.64	3000	0.1168
21	Customer KIDPX	10512	2007-04-21 00:00:00	2007-04-24 00:00:00	Shipper ETYNR	3.53	618	0.0057
86	Customer SNXOJ	10513	2007-04-22 00:00:00	2007-04-28 00:00:00	Shipper GVSUA	105.65	2427.5	0.0435
20	Customer THHDP	10514	2007-04-22 00:00:00	2007-05-16 00:00:00	Shipper ETYNR	789.95	8623.45	0.0916
63	Customer IRRVL	10515	2007-04-23 00:00:00	2007-05-23 00:00:00	Shipper GVSUA	204.47	10588.5	0.0193
37	Customer FRXZL	10516	2007-04-24 00:00:00	2007-05-01 00:00:00	Shipper ZHISN	62.78	2614.5	0.024
53	Customer GCJSG	10517	2007-04-24 00:00:00	2007-04-29 00:00:00	Shipper ZHISN	32.07	352	0.0911
80	Customer VONTK	10518	2007-04-25 00:00:00	2007-05-05 00:00:00	Shipper ETYNR	218.15	4150.05	0.0525
14	Customer WNMAF	10519	2007-04-28 00:00:00	2007-05-01 00:00:00	Shipper ZHISN	91.76	2356	0.0389
70	Customer TMXGN	10520	2007-04-29 00:00:00	2007-05-01 00:00:00	Shipper GVSUA	13.37	200	0.0668
12	Customer PSNMQ	10521	2007-04-29 00:00:00	2007-05-02 00:00:00	Shipper ETYNR	17.22	225.5	0.0763
44	Customer OXFRU	10522	2007-04-30 00:00:00	2007-05-06 00:00:00	Shipper GVSUA	45.33	2657.8	0.017
72	Customer AHPOP	10523	2007-05-01 00:00:00	2007-05-30 00:00:00	Shipper ETYNR	77.63	2715.9	0.0285
5	Customer HGVLZ	10524	2007-05-01 00:00:00	2007-05-07 00:00:00	Shipper ETYNR	244.79	3192.65	0.0766
9	Customer RTXGC	10525	2007-05-02 00:00:00	2007-05-23 00:00:00	Shipper ETYNR	11.06	846	0.013
87	Customer ZHYOS	10526	2007-05-05 00:00:00	2007-05-15 00:00:00	Shipper ETYNR	58.59	1344	0.0435
63	Customer IRRVL	10527	2007-05-05 00:00:00	2007-05-07 00:00:00	Shipper GVSUA	41.9	1670	0.025
32	Customer YSIQX	10528	2007-05-06 00:00:00	2007-05-09 00:00:00	Shipper ETYNR	3.35	396.2	0.0084
50	Customer JYPSC	10529	2007-05-07 00:00:00	2007-05-09 00:00:00	Shipper ETYNR	66.69	946	0.0704
59	Customer LOLJO	10530	2007-05-08 00:00:00	2007-05-12 00:00:00	Shipper ETYNR	339.22	4180	0.0811
54	Customer TDKEG	10531	2007-05-08 00:00:00	2007-05-19 00:00:00	Shipper GVSUA	8.12	110	0.0738
19	Customer RFNQC	10532	2007-05-09 00:00:00	2007-05-12 00:00:00	Shipper ZHISN	74.46	796.35	0.0935
24	Customer CYZTN	10533	2007-05-12 00:00:00	2007-05-22 00:00:00	Shipper GVSUA	188.04	2295.2	0.0819
44	Customer OXFRU	10534	2007-05-12 00:00:00	2007-05-14 00:00:00	Shipper ETYNR	27.94	517.4	0.054
3	Customer KBUDE	10535	2007-05-13 00:00:00	2007-05-21 00:00:00	Shipper GVSUA	15.64	2156.5	0.0072
44	Customer OXFRU	10536	2007-05-14 00:00:00	2007-06-06 00:00:00	Shipper ETYNR	58.88	2085	0.0282
68	Customer CCKOT	10537	2007-05-14 00:00:00	2007-05-19 00:00:00	Shipper GVSUA	78.85	1823.8	0.0432
11	Customer UBHAU	10538	2007-05-15 00:00:00	2007-05-16 00:00:00	Shipper ZHISN	4.87	139.8	0.0348
11	Customer UBHAU	10539	2007-05-16 00:00:00	2007-05-23 00:00:00	Shipper ZHISN	12.36	355.5	0.0347
63	Customer IRRVL	10540	2007-05-19 00:00:00	2007-06-13 00:00:00	Shipper ZHISN	1007.64	10191.7	0.0988
34	Customer IBVRG	10541	2007-05-19 00:00:00	2007-05-29 00:00:00	Shipper GVSUA	68.65	2162.8	0.0317
39	Customer GLLAG	10542	2007-05-20 00:00:00	2007-05-26 00:00:00	Shipper ZHISN	10.95	493.8	0.0221
46	Customer XPNIK	10543	2007-05-21 00:00:00	2007-05-23 00:00:00	Shipper ETYNR	48.17	1770	0.0272
48	Customer DVFMB	10544	2007-05-21 00:00:00	2007-05-30 00:00:00	Shipper GVSUA	24.91	417.2	0.0597
43	Customer UISOJ	10545	2007-05-22 00:00:00	2007-06-26 00:00:00	Shipper ETYNR	11.92	210	0.0567
84	Customer NRCSK	10546	2007-05-23 00:00:00	2007-05-27 00:00:00	Shipper ZHISN	194.72	2812	0.0692
72	Customer AHPOP	10547	2007-05-23 00:00:00	2007-06-02 00:00:00	Shipper ETYNR	178.43	1908	0.0935
79	Customer FAPSM	10548	2007-05-26 00:00:00	2007-06-02 00:00:00	Shipper ETYNR	1.43	275.1	0.0051
63	Customer IRRVL	10549	2007-05-27 00:00:00	2007-05-30 00:00:00	Shipper GVSUA	171.24	4181.5	0.0409
30	Customer KSLQF	10550	2007-05-28 00:00:00	2007-06-06 00:00:00	Shipper ZHISN	4.32	749	0.0057
28	Customer XYUFB	10551	2007-05-28 00:00:00	2007-06-06 00:00:00	Shipper ZHISN	72.95	1836	0.0397
35	Customer UMTLM	10552	2007-05-29 00:00:00	2007-06-05 00:00:00	Shipper GVSUA	83.22	880.5	0.0945
87	Customer ZHYOS	10553	2007-05-30 00:00:00	2007-06-03 00:00:00	Shipper ETYNR	149.49	1546.3	0.0966
56	Customer QNIVZ	10554	2007-05-30 00:00:00	2007-06-05 00:00:00	Shipper ZHISN	120.97	1819.5	0.0664
71	Customer LCOUJ	10555	2007-06-02 00:00:00	2007-06-04 00:00:00	Shipper ZHISN	252.49	3680.5	0.0686
73	Customer JMIKW	10556	2007-06-03 00:00:00	2007-06-13 00:00:00	Shipper GVSUA	9.8	835.2	0.0117
44	Customer OXFRU	10557	2007-06-03 00:00:00	2007-06-06 00:00:00	Shipper ETYNR	96.72	1152.5	0.0839
4	Customer HFBZG	10558	2007-06-04 00:00:00	2007-06-10 00:00:00	Shipper ETYNR	72.97	2142.9	0.034
7	Customer QXVLA	10559	2007-06-05 00:00:00	2007-06-13 00:00:00	Shipper GVSUA	8.05	547.8	0.0146
25	Customer AZJED	10560	2007-06-06 00:00:00	2007-06-09 00:00:00	Shipper GVSUA	36.65	1257.3	0.0291
24	Customer CYZTN	10561	2007-06-06 00:00:00	2007-06-09 00:00:00	Shipper ETYNR	242.21	2844.5	0.0851
66	Customer LHANT	10562	2007-06-09 00:00:00	2007-06-12 00:00:00	Shipper GVSUA	22.95	543	0.0422
67	Customer QVEPD	10563	2007-06-10 00:00:00	2007-06-24 00:00:00	Shipper ETYNR	60.43	965	0.0626
65	Customer NYUHS	10564	2007-06-10 00:00:00	2007-06-16 00:00:00	Shipper ZHISN	13.75	1299	0.0105
51	Customer PVDZC	10565	2007-06-11 00:00:00	2007-06-18 00:00:00	Shipper ETYNR	7.15	711	0.01
7	Customer QXVLA	10566	2007-06-12 00:00:00	2007-06-18 00:00:00	Shipper GVSUA	88.4	2040	0.0433
37	Customer FRXZL	10567	2007-06-12 00:00:00	2007-06-17 00:00:00	Shipper GVSUA	33.97	3109	0.0109
29	Customer MDLWA	10568	2007-06-13 00:00:00	2007-07-09 00:00:00	Shipper ZHISN	6.54	155	0.0421
65	Customer NYUHS	10569	2007-06-16 00:00:00	2007-07-11 00:00:00	Shipper GVSUA	58.98	977.5	0.0603
51	Customer PVDZC	10570	2007-06-17 00:00:00	2007-06-19 00:00:00	Shipper ZHISN	188.99	2595	0.0728
20	Customer THHDP	10571	2007-06-17 00:00:00	2007-07-04 00:00:00	Shipper ZHISN	26.06	647.75	0.0402
5	Customer HGVLZ	10572	2007-06-18 00:00:00	2007-06-25 00:00:00	Shipper ETYNR	116.43	1565.65	0.0743
3	Customer KBUDE	10573	2007-06-19 00:00:00	2007-06-20 00:00:00	Shipper ZHISN	84.84	2082	0.0407
82	Customer EYHKM	10574	2007-06-19 00:00:00	2007-06-30 00:00:00	Shipper ETYNR	37.6	764.3	0.0491
52	Customer PZNLA	10575	2007-06-20 00:00:00	2007-06-30 00:00:00	Shipper GVSUA	127.34	2147.4	0.0592
80	Customer VONTK	10576	2007-06-23 00:00:00	2007-06-30 00:00:00	Shipper ZHISN	18.56	838.45	0.0221
82	Customer EYHKM	10577	2007-06-23 00:00:00	2007-06-30 00:00:00	Shipper ETYNR	25.41	569	0.0446
11	Customer UBHAU	10578	2007-06-24 00:00:00	2007-07-25 00:00:00	Shipper ZHISN	29.6	477	0.062
45	Customer QXPPT	10579	2007-06-25 00:00:00	2007-07-04 00:00:00	Shipper ETYNR	13.73	317.75	0.0432
56	Customer QNIVZ	10580	2007-06-26 00:00:00	2007-07-01 00:00:00	Shipper ZHISN	75.89	1067.1	0.0711
21	Customer KIDPX	10581	2007-06-26 00:00:00	2007-07-02 00:00:00	Shipper GVSUA	3.01	387.5	0.0077
6	Customer XHXJV	10582	2007-06-27 00:00:00	2007-07-14 00:00:00	Shipper ETYNR	27.71	330	0.0839
87	Customer ZHYOS	10583	2007-06-30 00:00:00	2007-07-04 00:00:00	Shipper ETYNR	7.28	2413.9	0.003
7	Customer QXVLA	10584	2007-06-30 00:00:00	2007-07-04 00:00:00	Shipper GVSUA	59.14	625	0.0946
88	Customer SRQVM	10585	2007-07-01 00:00:00	2007-07-10 00:00:00	Shipper GVSUA	13.41	142.5	0.0941
66	Customer LHANT	10586	2007-07-02 00:00:00	2007-07-09 00:00:00	Shipper GVSUA	0.48	28	0.0171
61	Customer WULWD	10587	2007-07-02 00:00:00	2007-07-09 00:00:00	Shipper GVSUA	62.52	807.38	0.0774
63	Customer IRRVL	10588	2007-07-03 00:00:00	2007-07-10 00:00:00	Shipper ZHISN	194.67	3900	0.0499
32	Customer YSIQX	10589	2007-07-04 00:00:00	2007-07-14 00:00:00	Shipper ETYNR	4.42	72	0.0613
51	Customer PVDZC	10590	2007-07-07 00:00:00	2007-07-14 00:00:00	Shipper ZHISN	44.77	1140	0.0392
83	Customer ZRNDE	10591	2007-07-07 00:00:00	2007-07-16 00:00:00	Shipper GVSUA	55.92	812.5	0.0688
44	Customer OXFRU	10592	2007-07-08 00:00:00	2007-07-16 00:00:00	Shipper GVSUA	32.1	543.65	0.059
44	Customer OXFRU	10593	2007-07-09 00:00:00	2007-08-13 00:00:00	Shipper ETYNR	174.2	2493	0.0698
55	Customer KZQZT	10594	2007-07-09 00:00:00	2007-07-16 00:00:00	Shipper ETYNR	5.24	565.5	0.0092
20	Customer THHDP	10595	2007-07-10 00:00:00	2007-07-14 00:00:00	Shipper GVSUA	96.78	6300	0.0153
89	Customer YBQTI	10596	2007-07-11 00:00:00	2007-08-12 00:00:00	Shipper GVSUA	16.34	1476.1	0.011
59	Customer LOLJO	10597	2007-07-11 00:00:00	2007-07-18 00:00:00	Shipper ZHISN	35.12	800.1	0.0438
65	Customer NYUHS	10598	2007-07-14 00:00:00	2007-07-18 00:00:00	Shipper ZHISN	44.42	2388.5	0.0185
11	Customer UBHAU	10599	2007-07-15 00:00:00	2007-07-21 00:00:00	Shipper ZHISN	29.98	493	0.0608
36	Customer LVJSO	10600	2007-07-16 00:00:00	2007-07-21 00:00:00	Shipper GVSUA	45.13	479.8	0.094
35	Customer UMTLM	10601	2007-07-16 00:00:00	2007-07-22 00:00:00	Shipper GVSUA	58.3	2285	0.0255
83	Customer ZRNDE	10602	2007-07-17 00:00:00	2007-07-22 00:00:00	Shipper ETYNR	2.92	65	0.0449
71	Customer LCOUJ	10603	2007-07-18 00:00:00	2007-08-08 00:00:00	Shipper ETYNR	48.77	1508	0.0323
28	Customer XYUFB	10604	2007-07-18 00:00:00	2007-07-29 00:00:00	Shipper GVSUA	7.46	256.5	0.029
51	Customer PVDZC	10605	2007-07-21 00:00:00	2007-07-29 00:00:00	Shipper ETYNR	379.13	4326	0.0876
81	Customer YQQWW	10606	2007-07-22 00:00:00	2007-07-31 00:00:00	Shipper ZHISN	79.4	1413	0.0561
71	Customer LCOUJ	10607	2007-07-22 00:00:00	2007-07-25 00:00:00	Shipper GVSUA	200.24	6475.4	0.0309
79	Customer FAPSM	10608	2007-07-23 00:00:00	2007-08-01 00:00:00	Shipper ETYNR	27.79	1064	0.0261
18	Customer BSVAR	10609	2007-07-24 00:00:00	2007-07-30 00:00:00	Shipper ETYNR	1.85	424	0.0043
41	Customer XIIWM	10610	2007-07-25 00:00:00	2007-08-06 00:00:00	Shipper GVSUA	26.78	399	0.0671
91	Customer CCFIZ	10611	2007-07-25 00:00:00	2007-08-01 00:00:00	Shipper ETYNR	80.65	808	0.0998
71	Customer LCOUJ	10612	2007-07-28 00:00:00	2007-08-01 00:00:00	Shipper ETYNR	544.08	6375	0.0853
35	Customer UMTLM	10613	2007-07-29 00:00:00	2007-08-01 00:00:00	Shipper ETYNR	8.11	358	0.0226
6	Customer XHXJV	10614	2007-07-29 00:00:00	2007-08-01 00:00:00	Shipper ZHISN	1.93	464	0.0041
90	Customer XBBVR	10615	2007-07-30 00:00:00	2007-08-06 00:00:00	Shipper ZHISN	0.75	120	0.0062
32	Customer YSIQX	10616	2007-07-31 00:00:00	2007-08-05 00:00:00	Shipper ETYNR	116.53	5032	0.0231
32	Customer YSIQX	10617	2007-07-31 00:00:00	2007-08-04 00:00:00	Shipper ETYNR	18.53	1650	0.0112
51	Customer PVDZC	10618	2007-08-01 00:00:00	2007-08-08 00:00:00	Shipper GVSUA	154.68	2697.5	0.0573
51	Customer PVDZC	10619	2007-08-04 00:00:00	2007-08-07 00:00:00	Shipper ZHISN	91.05	1260	0.0722
42	Customer IAIJK	10620	2007-08-05 00:00:00	2007-08-14 00:00:00	Shipper ZHISN	0.94	57.5	0.0163
38	Customer LJUCA	10621	2007-08-05 00:00:00	2007-08-11 00:00:00	Shipper ETYNR	23.73	758.5	0.0312
67	Customer QVEPD	10622	2007-08-06 00:00:00	2007-08-11 00:00:00	Shipper ZHISN	50.97	605	0.0842
25	Customer AZJED	10623	2007-08-07 00:00:00	2007-08-12 00:00:00	Shipper ETYNR	97.18	1429.75	0.0679
78	Customer NLTYP	10624	2007-08-07 00:00:00	2007-08-19 00:00:00	Shipper ETYNR	94.8	1393.24	0.068
2	Customer MLTDN	10625	2007-08-08 00:00:00	2007-08-14 00:00:00	Shipper GVSUA	43.9	479.75	0.0915
5	Customer HGVLZ	10626	2007-08-11 00:00:00	2007-08-20 00:00:00	Shipper ETYNR	138.69	1503.6	0.0922
71	Customer LCOUJ	10627	2007-08-11 00:00:00	2007-08-21 00:00:00	Shipper ZHISN	107.46	1264.5	0.0849
7	Customer QXVLA	10628	2007-08-12 00:00:00	2007-08-20 00:00:00	Shipper ZHISN	30.36	450	0.0674
30	Customer KSLQF	10629	2007-08-12 00:00:00	2007-08-20 00:00:00	Shipper ZHISN	85.46	2775.05	0.0307
39	Customer GLLAG	10630	2007-08-13 00:00:00	2007-08-19 00:00:00	Shipper ETYNR	32.35	918	0.0352
41	Customer XIIWM	10631	2007-08-14 00:00:00	2007-08-15 00:00:00	Shipper GVSUA	0.87	62	0.014
86	Customer SNXOJ	10632	2007-08-14 00:00:00	2007-08-19 00:00:00	Shipper GVSUA	41.38	620	0.0667
20	Customer THHDP	10633	2007-08-15 00:00:00	2007-08-18 00:00:00	Shipper ZHISN	477.9	6483.05	0.0737
23	Customer WVFAF	10634	2007-08-15 00:00:00	2007-08-21 00:00:00	Shipper ZHISN	487.38	4985.5	0.0977
49	Customer CQRAA	10635	2007-08-18 00:00:00	2007-08-21 00:00:00	Shipper ZHISN	47.46	1380.25	0.0343
87	Customer ZHYOS	10636	2007-08-19 00:00:00	2007-08-26 00:00:00	Shipper GVSUA	1.15	629.5	0.0018
62	Customer WFIZJ	10637	2007-08-19 00:00:00	2007-08-26 00:00:00	Shipper GVSUA	201.29	2896.25	0.0695
47	Customer PSQUZ	10638	2007-08-20 00:00:00	2007-09-01 00:00:00	Shipper GVSUA	158.44	2720.05	0.0582
70	Customer TMXGN	10639	2007-08-20 00:00:00	2007-08-27 00:00:00	Shipper ZHISN	38.64	500	0.0772
86	Customer SNXOJ	10640	2007-08-21 00:00:00	2007-08-28 00:00:00	Shipper GVSUA	23.55	945	0.0249
35	Customer UMTLM	10641	2007-08-22 00:00:00	2007-08-26 00:00:00	Shipper ETYNR	179.61	2054	0.0874
73	Customer JMIKW	10642	2007-08-22 00:00:00	2007-09-05 00:00:00	Shipper ZHISN	41.89	870	0.0481
1	Customer NRZBB	10643	2007-08-25 00:00:00	2007-09-02 00:00:00	Shipper GVSUA	29.46	1086	0.0271
88	Customer SRQVM	10644	2007-08-25 00:00:00	2007-09-01 00:00:00	Shipper ETYNR	0.14	1422	0
34	Customer IBVRG	10645	2007-08-26 00:00:00	2007-09-02 00:00:00	Shipper GVSUA	12.41	1535	0.008
37	Customer FRXZL	10646	2007-08-27 00:00:00	2007-09-03 00:00:00	Shipper ZHISN	142.33	1928	0.0738
61	Customer WULWD	10647	2007-08-27 00:00:00	2007-09-03 00:00:00	Shipper ETYNR	45.54	636	0.0716
67	Customer QVEPD	10648	2007-08-28 00:00:00	2007-09-09 00:00:00	Shipper ETYNR	14.25	382.5	0.0372
50	Customer JYPSC	10649	2007-08-28 00:00:00	2007-08-29 00:00:00	Shipper ZHISN	6.2	1434	0.0043
21	Customer KIDPX	10650	2007-08-29 00:00:00	2007-09-03 00:00:00	Shipper ZHISN	176.81	1820.2	0.0971
86	Customer SNXOJ	10651	2007-09-01 00:00:00	2007-09-11 00:00:00	Shipper ETYNR	20.6	530.4	0.0388
31	Customer YJCBX	10652	2007-09-01 00:00:00	2007-09-08 00:00:00	Shipper ETYNR	7.14	331.78	0.0215
25	Customer AZJED	10653	2007-09-02 00:00:00	2007-09-19 00:00:00	Shipper GVSUA	93.25	1203.5	0.0774
5	Customer HGVLZ	10654	2007-09-02 00:00:00	2007-09-11 00:00:00	Shipper GVSUA	55.26	668.7	0.0826
66	Customer LHANT	10655	2007-09-03 00:00:00	2007-09-11 00:00:00	Shipper ETYNR	4.41	193	0.0228
32	Customer YSIQX	10656	2007-09-04 00:00:00	2007-09-10 00:00:00	Shipper GVSUA	57.15	671.35	0.0851
71	Customer LCOUJ	10657	2007-09-04 00:00:00	2007-09-15 00:00:00	Shipper ETYNR	352.69	4371.6	0.0806
63	Customer IRRVL	10658	2007-09-05 00:00:00	2007-09-08 00:00:00	Shipper GVSUA	364.15	4668	0.078
62	Customer WFIZJ	10659	2007-09-05 00:00:00	2007-09-10 00:00:00	Shipper ETYNR	105.81	1291.6	0.0819
36	Customer LVJSO	10660	2007-09-08 00:00:00	2007-10-15 00:00:00	Shipper GVSUA	111.29	1701	0.0654
37	Customer FRXZL	10661	2007-09-09 00:00:00	2007-09-15 00:00:00	Shipper ZHISN	17.55	703.25	0.0249
48	Customer DVFMB	10662	2007-09-09 00:00:00	2007-09-18 00:00:00	Shipper ETYNR	1.28	125	0.0102
9	Customer RTXGC	10663	2007-09-10 00:00:00	2007-10-03 00:00:00	Shipper ETYNR	113.15	2032	0.0556
28	Customer XYUFB	10664	2007-09-10 00:00:00	2007-09-19 00:00:00	Shipper ZHISN	1.27	1515.75	0.0008
48	Customer DVFMB	10665	2007-09-11 00:00:00	2007-09-17 00:00:00	Shipper ETYNR	26.31	1295	0.0203
68	Customer CCKOT	10666	2007-09-12 00:00:00	2007-09-22 00:00:00	Shipper ETYNR	232.42	4666.94	0.0498
20	Customer THHDP	10667	2007-09-12 00:00:00	2007-09-19 00:00:00	Shipper GVSUA	78.09	1921	0.0406
86	Customer SNXOJ	10668	2007-09-15 00:00:00	2007-09-23 00:00:00	Shipper ETYNR	47.22	694.75	0.0679
73	Customer JMIKW	10669	2007-09-15 00:00:00	2007-09-22 00:00:00	Shipper GVSUA	24.39	570	0.0427
25	Customer AZJED	10670	2007-09-16 00:00:00	2007-09-18 00:00:00	Shipper GVSUA	203.48	2301.75	0.0884
26	Customer USDBG	10671	2007-09-17 00:00:00	2007-09-24 00:00:00	Shipper GVSUA	30.34	920.1	0.0329
5	Customer HGVLZ	10672	2007-09-17 00:00:00	2007-09-26 00:00:00	Shipper ETYNR	95.75	4210.5	0.0227
90	Customer XBBVR	10673	2007-09-18 00:00:00	2007-09-19 00:00:00	Shipper GVSUA	22.76	412.35	0.0551
38	Customer LJUCA	10674	2007-09-18 00:00:00	2007-09-30 00:00:00	Shipper ETYNR	0.9	45	0.02
25	Customer AZJED	10675	2007-09-19 00:00:00	2007-09-23 00:00:00	Shipper ETYNR	31.85	1423	0.0223
80	Customer VONTK	10676	2007-09-22 00:00:00	2007-09-29 00:00:00	Shipper ETYNR	2.01	534.85	0.0037
3	Customer KBUDE	10677	2007-09-22 00:00:00	2007-09-26 00:00:00	Shipper ZHISN	4.03	956.9	0.0042
71	Customer LCOUJ	10678	2007-09-23 00:00:00	2007-10-16 00:00:00	Shipper ZHISN	388.98	5256.5	0.0739
7	Customer QXVLA	10679	2007-09-23 00:00:00	2007-09-30 00:00:00	Shipper ZHISN	27.94	660	0.0423
55	Customer KZQZT	10680	2007-09-24 00:00:00	2007-09-26 00:00:00	Shipper GVSUA	26.61	1682.5	0.0158
32	Customer YSIQX	10681	2007-09-25 00:00:00	2007-09-30 00:00:00	Shipper ZHISN	76.13	1327	0.0573
3	Customer KBUDE	10682	2007-09-25 00:00:00	2007-10-01 00:00:00	Shipper ETYNR	36.13	375.5	0.0962
18	Customer BSVAR	10683	2007-09-26 00:00:00	2007-10-01 00:00:00	Shipper GVSUA	4.4	63	0.0698
56	Customer QNIVZ	10684	2007-09-26 00:00:00	2007-09-30 00:00:00	Shipper GVSUA	145.63	1768	0.0823
31	Customer YJCBX	10685	2007-09-29 00:00:00	2007-10-03 00:00:00	Shipper ETYNR	33.75	801.1	0.0421
59	Customer LOLJO	10686	2007-09-30 00:00:00	2007-10-08 00:00:00	Shipper GVSUA	96.5	1638.45	0.0588
37	Customer FRXZL	10687	2007-09-30 00:00:00	2007-10-30 00:00:00	Shipper ETYNR	296.43	6201.9	0.0477
83	Customer ZRNDE	10688	2007-10-01 00:00:00	2007-10-07 00:00:00	Shipper ETYNR	299.09	3490	0.0856
5	Customer HGVLZ	10689	2007-10-01 00:00:00	2007-10-07 00:00:00	Shipper ETYNR	13.42	630	0.0213
34	Customer IBVRG	10690	2007-10-02 00:00:00	2007-10-03 00:00:00	Shipper GVSUA	15.8	1150	0.0137
63	Customer IRRVL	10691	2007-10-03 00:00:00	2007-10-22 00:00:00	Shipper ETYNR	810.05	10164.8	0.0796
1	Customer NRZBB	10692	2007-10-03 00:00:00	2007-10-13 00:00:00	Shipper ETYNR	61.02	878	0.0694
